Date,Date
A2335980C,General government - National ;  Final consumption expenditure: Chain volume measures ;
A2335981F,General government - State and local ;  Final consumption expenditure: Chain volume measures ;
A2335982J,General government ;  Final consumption expenditure: Chain volume measures ;
A2335983K,Households ;  Final consumption expenditure - Food: Chain volume measures ;
A2335984L,Households ;  Final consumption expenditure - Alcoholic beverages and tobacco: Chain volume measures ;
A2335985R,Households ;  Final consumption expenditure - Clothing and footwear: Chain volume measures ;
A2335986T,Households ;  Final consumption expenditure - Rent and other dwelling services: Chain volume measures ;
A2335987V,"Households ;  Final consumption expenditure - Electricity, gas and other fuel: Chain volume measures ;"
A2335988W,Households ;  Final consumption expenditure - Furnishings and household equipment: Chain volume measures ;
A2335989X,Households ;  Final consumption expenditure - Health: Chain volume measures ;
A2335990J,Households ;  Final consumption expenditure - Transport: Chain volume measures ;
A2335991K,Households ;  Final consumption expenditure - Communications: Chain volume measures ;
A2335992L,Households ;  Final consumption expenditure - Recreation and culture: Chain volume measures ;
A2335993R,Households ;  Final consumption expenditure - Education services: Chain volume measures ;
A2335994T,"Households ;  Final consumption expenditure - Hotels, cafes and restaurants: Chain volume measures ;"
A2335995V,Households ;  Final consumption expenditure - Miscellaneous goods and services: Chain volume measures ;
A2335996W,Households ;  Final consumption expenditure - Net expenditure interstate: Chain volume measures ;
A2335997X,Households ;  Final consumption expenditure: Chain volume measures ;
A2335998A,All sectors ;  Final consumption expenditure: Chain volume measures ;
A2336009X,Private ;  Gross fixed capital formation - Dwellings - Total: Chain volume measures ;
A2336010J,Private ;  Gross fixed capital formation - Ownership transfer costs: Chain volume measures ;
A2336002J,Private ;  Gross fixed capital formation - Non-dwelling construction - New building: Chain volume measures ;
A2336003K,Private ;  Gross fixed capital formation - Non-dwelling construction - New engineering construction: Chain volume measures ;
A2336004L,Private ;  Gross fixed capital formation - Non-dwelling construction - Net purchase of second hand assets: Chain volume measures ;
A2336005R,Private ;  Gross fixed capital formation - Non-dwelling construction - Total: Chain volume measures ;
A2335999C,Private ;  Gross fixed capital formation - Machinery and equipment - New: Chain volume measures ;
A2336000C,Private ;  Gross fixed capital formation - Machinery and equipment - Net purchase of second hand assets: Chain volume measures ;
A2336001F,Private ;  Gross fixed capital formation - Machinery and equipment - Total: Chain volume measures ;
A2713894R,Private ;  Gross fixed capital formation - Cultivated biological resources: Chain volume measures ;
A2713928A,Private ;  Gross fixed capital formation - Intellectual property products: Chain volume measures ;
A2336008W,Private ;  Gross fixed capital formation - Total private business investment: Chain volume measures ;
A2336011K,Private ;  Gross fixed capital formation: Chain volume measures ;
A2336012L,Public corporations - Commonwealth ;  Gross fixed capital formation: Chain volume measures ;
A2336013R,Public corporations - State and local ;  Gross fixed capital formation: Chain volume measures ;
A2335824A,Public corporations ;  Gross fixed capital formation: Chain volume measures ;
A2335825C,General government - National ;  Gross fixed capital formation: Chain volume measures ;
A2335826F,General government - State and local ;  Gross fixed capital formation: Chain volume measures ;
A2335827J,General government ;  Gross fixed capital formation: Chain volume measures ;
A2335828K,Public ;  Gross fixed capital formation: Chain volume measures ;
A2335829L,All sectors ;  Gross fixed capital formation: Chain volume measures ;
A2335830W,All sectors ;  STATE FINAL DEMAND: Chain volume measures ;
A2335831X,All sectors ;  International trade - exports of goods: Chain volume measures ;
A2335832A,All sectors ;  International trade - imports of goods: Chain volume measures ;
A2335833C,All sectors ;  International trade - exports of services: Chain volume measures ;
A2335834F,All sectors ;  International trade - imports of services: Chain volume measures ;
A2335835J,All sectors ;  Balancing item: Chain volume measures ;
A2478899T,All sectors ;  Statistical discrepancy (E): Chain volume measures ;
A2336349V,All sectors ;  GROSS STATE PRODUCT: Chain volume measures ;
A2335836K,General government - National ;  Final consumption expenditure: Current prices ;
A2335837L,General government - State and local ;  Final consumption expenditure: Current prices ;
A2335838R,General government ;  Final consumption expenditure: Current prices ;
A2335839T,Households ;  Final consumption expenditure - Food: Current prices ;
A2335840A,Households ;  Final consumption expenditure - Alcoholic beverages and tobacco: Current prices ;
A2335841C,Households ;  Final consumption expenditure - Clothing and footwear: Current prices ;
A2335842F,Households ;  Final consumption expenditure - Rent and other dwelling services: Current prices ;
A2335843J,"Households ;  Final consumption expenditure - Electricity, gas and other fuel: Current prices ;"
A2335844K,Households ;  Final consumption expenditure - Furnishings and household equipment: Current prices ;
A2335845L,Households ;  Final consumption expenditure - Health: Current prices ;
A2335846R,Households ;  Final consumption expenditure - Transport: Current prices ;
A2335847T,Households ;  Final consumption expenditure - Communications: Current prices ;
A2335848V,Households ;  Final consumption expenditure - Recreation and culture: Current prices ;
A2335849W,Households ;  Final consumption expenditure - Education services: Current prices ;
A2335850F,"Households ;  Final consumption expenditure - Hotels, cafes and restaurants: Current prices ;"
A2335851J,Households ;  Final consumption expenditure - Miscellaneous goods and services: Current prices ;
A2335852K,Households ;  Final consumption expenditure - Net expenditure interstate: Current prices ;
A2335853L,Households ;  Final consumption expenditure: Current prices ;
A2335854R,All sectors ;  Final consumption expenditure: Current prices ;
A2335865W,Private ;  Gross fixed capital formation - Dwellings - Total: Current prices ;
A2335866X,Private ;  Gross fixed capital formation - Ownership transfer costs: Current prices ;
A2335858X,Private ;  Gross fixed capital formation - Non-dwelling construction - New building: Current prices ;
A2335859A,Private ;  Gross fixed capital formation - Non-dwelling construction - New engineering construction: Current prices ;
A2335860K,Private ;  Gross fixed capital formation - Non-dwelling construction - Net purchase of second hand assets: Current prices ;
A2335861L,Private ;  Gross fixed capital formation - Non-dwelling construction - Total: Current prices ;
A2335855T,Private ;  Gross fixed capital formation - Machinery and equipment - New: Current prices ;
A2335856V,Private ;  Gross fixed capital formation - Machinery and equipment - Net purchase of second hand assets: Current prices ;
A2335857W,Private ;  Gross fixed capital formation - Machinery and equipment - Total: Current prices ;
A2713890F,Private ;  Gross fixed capital formation - Cultivated biological resources: Current prices ;
A2713924T,Private ;  Gross fixed capital formation - Intellectual property products: Current prices ;
A2335864V,Private ;  Gross fixed capital formation - Total private business investment: Current prices ;
A2335867A,Private ;  Gross fixed capital formation: Current prices ;
A2335868C,Public corporations - Commonwealth ;  Gross fixed capital formation: Current prices ;
A2335869F,Public corporations - State and local ;  Gross fixed capital formation: Current prices ;
A2335870R,Public corporations ;  Gross fixed capital formation: Current prices ;
A2335871T,General government - National ;  Gross fixed capital formation: Current prices ;
A2335872V,General government - State and local ;  Gross fixed capital formation: Current prices ;
A2335873W,General government ;  Gross fixed capital formation: Current prices ;
A2335874X,Public ;  Gross fixed capital formation: Current prices ;
A2335875A,All sectors ;  Gross fixed capital formation: Current prices ;
A2335876C,All sectors ;  STATE FINAL DEMAND: Current prices ;
A2335877F,All sectors ;  International trade - exports of goods: Current prices ;
A2335878J,All sectors ;  International trade - imports of goods: Current prices ;
A2335879K,All sectors ;  International trade - exports of services: Current prices ;
A2335880V,All sectors ;  International trade - imports of services: Current prices ;
A2335881W,All sectors ;  Balancing item: Current prices ;
A2478900R,All sectors ;  Statistical discrepancy (E): Current prices ;
A2336323W,All sectors ;  GROSS STATE PRODUCT: Current prices ;
A2714472J,"Agriculture, forestry and fishing (A) ;  Total compensation of employees: Current prices ;"
A2714473K,"Agriculture, forestry and fishing (A) ;  Gross operating surplus and gross mixed income: Current prices ;"
A2714474L,"Agriculture, forestry and fishing (A) ;  Total factor income: Current prices ;"
A2714476T,Mining (B) ;  Total compensation of employees: Current prices ;
A2714477V,Mining (B) ;  Gross operating surplus and gross mixed income: Current prices ;
A2714478W,Mining (B) ;  Total factor income: Current prices ;
A2714480J,Manufacturing (C) ;  Total compensation of employees: Current prices ;
A2714481K,Manufacturing (C) ;  Gross operating surplus and gross mixed income: Current prices ;
A2714482L,Manufacturing (C) ;  Total factor income: Current prices ;
A2714484T,"Electricity, gas, water and waste services (D) ;  Total compensation of employees: Current prices ;"
A2714485V,"Electricity, gas, water and waste services (D) ;  Gross operating surplus and gross mixed income: Current prices ;"
A2714486W,"Electricity, gas, water and waste services (D) ;  Total factor income: Current prices ;"
A2714488A,Construction (E) ;  Total compensation of employees: Current prices ;
A2714489C,Construction (E) ;  Gross operating surplus and gross mixed income: Current prices ;
A2714490L,Construction (E) ;  Total factor income: Current prices ;
A2714492T,Wholesale trade (F) ;  Total compensation of employees: Current prices ;
A2714493V,Wholesale trade (F) ;  Gross operating surplus and gross mixed income: Current prices ;
A2714494W,Wholesale trade (F) ;  Total factor income: Current prices ;
A2714496A,Retail trade (G) ;  Total compensation of employees: Current prices ;
A2714497C,Retail trade (G) ;  Gross operating surplus and gross mixed income: Current prices ;
A2714498F,Retail trade (G) ;  Total factor income: Current prices ;
A2714500F,Accommodation and food services (H) ;  Total compensation of employees: Current prices ;
A2714501J,Accommodation and food services (H) ;  Gross operating surplus and gross mixed income: Current prices ;
A2714502K,Accommodation and food services (H) ;  Total factor income: Current prices ;
A2714504R,"Transport, postal and warehousing (I) ;  Total compensation of employees: Current prices ;"
A2714505T,"Transport, postal and warehousing (I) ;  Gross operating surplus and gross mixed income: Current prices ;"
A2714506V,"Transport, postal and warehousing (I) ;  Total factor income: Current prices ;"
A2714508X,Information media and telecommunications (J) ;  Total compensation of employees: Current prices ;
A2714509A,Information media and telecommunications (J) ;  Gross operating surplus and gross mixed income: Current prices ;
A2714510K,Information media and telecommunications (J) ;  Total factor income: Current prices ;
A2714512R,Financial and insurance services (K) ;  Total compensation of employees: Current prices ;
A2714513T,Financial and insurance services (K) ;  Gross operating surplus and gross mixed income: Current prices ;
